source,bill_id,top_level_value,candidate_texts_json,candidate_evidence_json
popular,hr1724-102,Modifications in H.R. 1724 (Unemployment Compensation) bill,"[""Modifications in H.R. 1724 (Unemployment Compensation) bill"",""Most Favored Nation Trade for Hungary & Czechoslovakia bill"",""Unemployment Compensation (modifications in H.R. 1724) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Modifications in H.R. 1724 (Unemployment Compensation) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Most Favored Nation Trade for Hungary & Czechoslovakia bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Unemployment Compensation (modifications in H.R. 1724) bill"",""type"":""popular""}]"
popular,hr2448-102,Benjamin Franklin memorial Coin/Fire Service Bill of Rights bill,"[""Benjamin Franklin memorial Coin/Fire Service Bill of Rights bill"",""Fire Service Bill of Rights/Benjamin Franklin Memorial Coin bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Benjamin Franklin memorial Coin/Fire Service Bill of Rights bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Fire Service Bill of Rights/Benjamin Franklin Memorial Coin bill"",""type"":""popular""}]"
popular,hr2507-102,Fetal Tissue bill,"[""Fetal Tissue bill"",""NIH Revitalization bill"",""Whistleblower Protection (scientific misconduct) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Fetal Tissue bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""NIH Revitalization bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Whistleblower Protection (scientific misconduct) bill"",""type"":""popular""}]"
popular,hr2508-102,Birth control (United Nations Population Fund) bill,"[""Birth control (United Nations Population Fund) bill"",""United Nations Population Fund (Birth control) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Birth control (United Nations Population Fund) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""United Nations Population Fund (Birth control) bill"",""type"":""popular""}]"
popular,hr2522-102,Corporate Pay bill,"[""Corporate Pay bill"",""Stockholder Executive Pay bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Corporate Pay bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Stockholder Executive Pay bill"",""type"":""popular""}]"
popular,hr2535-102,National Health Insurance (Rockefeller/Pepper Commission) bill,"[""National Health Insurance (Rockefeller/Pepper Commission) bill"",""Rockefeller/Pepper Commission (National Health Insurance) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""National Health Insurance (Rockefeller/Pepper Commission) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Rockefeller/Pepper Commission (National Health Insurance) bill"",""type"":""popular""}]"
popular,hr2777-102,Credit Card (Tax Simplification) bill,"[""Credit Card (Tax Simplification) bill"",""Tax Simplification (Credit Card) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Credit Card (Tax Simplification) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Tax Simplification (Credit Card) bill"",""type"":""popular""}]"
popular,hr2950-102,Billboards (Transportation/Truck Trailer) bill,"[""Billboards (Transportation/Truck Trailer) bill"",""Gas Tax bill"",""Intermodal Transportation bill"",""National Recreation Trails Fund Act (in Transportation Bill)"",""Transportation (Truck Trailer/Billboards) bill"",""Truck Trailer (Billboards/Transportation) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Billboards (Transportation/Truck Trailer) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Gas Tax bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Intermodal Transportation bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""National Recreation Trails Fund Act (in Transportation Bill)"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Transportation (Truck Trailer/Billboards) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Truck Trailer (Billboards/Transportation) bill"",""type"":""popular""}]"
popular,hr3029-102,Agriculture Technical Corrections (Farm Bill),"[""Agriculture Technical Corrections (Farm Bill)"",""Farm (Agriculture Technical Corrections) bill"",""Food, Agriculture, Conservation, and Trade Act Amendments bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Agriculture Technical Corrections (Farm Bill)"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Farm (Agriculture Technical Corrections) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Food, Agriculture, Conservation, and Trade Act Amendments bill"",""type"":""popular""}]"
popular,hr3800-102,Long-Distance Learning (Technology for the Classroom) bill,"[""Long-Distance Learning (Technology for the Classroom) bill"",""Technology for the Classroom (Long-Distance Learning) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Long-Distance Learning (Technology for the Classroom) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Technology for the Classroom (Long-Distance Learning) bill"",""type"":""popular""}]"
